source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,Gmag,BPmag,RPmag,e_G,e_BP,e_RP,TWOMASS,Jmag,Hmag,Kmag,e_J,e_H,e_K,Qfl,Rfl,X,BPRP_excess
3004415733353623808,92.21447688392,0.0412,-10.23587003275,0.0418,13.909,0.0462,13.592,0.061,41.976,0.052,15.936817,17.777992,14.6533,0.002914,0.013006,0.004139,06085145-1014099,12.778,12.201,11.941,0.023,0.023,0.026,AAA,222,0,1.506
2997858349087312384,92.27491129607,0.0174,-12.44582678552,0.0176,10.7934,0.0251,10.136,0.021,36.555,0.019,15.041454,16.587595,13.830492,0.002789,0.004092,0.004037,06090596-1226455,12.133,11.555,11.307,0.024,0.021,0.024,AAA,222,0,1.459
3021373363751029888,92.67288316397,0.0524,-4.50115364951,0.0486,16.1431,0.0529,13.343,0.068,31.507,0.062,15.762754,17.867008,14.404308,0.002972,0.011819,0.004471,06104147-0430046,12.328,11.734,11.403,0.027,0.024,0.021,AAA,222,0,1.575
3325157736332326784,92.83338731605,0.0221,7.18430001976,0.0199,54.224,0.027,9.881,0.027,10.06,0.023,12.673983,14.40237,11.412366,0.002872,0.003823,0.003925,06112000+0711033,9.663,9.088,8.805,0.023,0.023,0.021,AAA,222,0,1.493
5572748211482652928,92.84730142037,0.0088,-40.87858569273,0.011,11.2617,0.0111,9.29,0.012,72.014,0.014,12.709059,13.574597,11.79738,0.002772,0.003018,0.003833,06112333-4052439,10.702,10.018,9.859,0.027,0.024,0.021,AAA,222,0,1.302
3019678466576294272,92.88478863327,0.0244,-6.86415832551,0.0263,10.354,0.0326,7.725,0.032,24.992,0.032,15.108956,16.695509,13.892687,0.003097,0.008546,0.005409,06113234-0651513,12.157,11.586,11.303,0.023,0.025,0.023,AAA,222,0,1.459
3319072184286515712,93.02752372119,0.025,6.63763258135,0.0223,10.0185,0.0294,-2.866,0.033,-1.066,0.025,14.88588,16.335318,13.710796,0.00285,0.004855,0.004056,06120661+0638155,12.114,11.475,11.238,0.024,0.022,0.021,AAA,222,0,1.433
3004826504025597312,93.32355282668,0.036,-9.63178835337,0.0375,12.6616,0.0414,9.778,0.046,36.447,0.046,15.723514,17.486921,14.453938,0.002901,0.007831,0.004226,06131764-0937550,12.625,11.999,11.705,0.026,0.023,0.021,AAA,222,0,1.498
3004878902626515200,93.45791126213,0.0435,-9.19451558939,0.0426,9.9745,0.0538,7.065,0.052,27.941,0.055,16.391985,18.142378,15.128593,0.003008,0.02052,0.004739,06134989-0911405,13.293,12.699,12.403,0.023,0.029,0.026,AAA,222,0,1.492
3437321636195093376,93.66347597927,0.0449,30.65005611569,0.0411,11.0634,0.0501,8.871,0.055,-46.981,0.042,12.804246,13.784124,11.790542,0.002786,0.004323,0.003944,06143922+3039010,10.457,9.289,9.617,0.027,,0.021,AUA,262,0,1.365
